ROW_ID;SERIE_ID;SERIE_TITLE;SERIE_ROW_ID;SEASON_NAME;SEASON_ROW_ID;NAME
347;6934;Westworld;71;Saison 1;73;S1 E1
348;6934;Westworld;71;Saison 1;73;S1 E2
349;6934;Westworld;71;Saison 1;73;S1 E3
350;6934;Westworld;71;Saison 1;73;S1 E4
351;6934;Westworld;71;Saison 1;73;S1 E5
352;6934;Westworld;71;Saison 1;73;S1 E6
353;6934;Westworld;71;Saison 1;73;S1 E7
354;6934;Westworld;71;Saison 1;73;S1 E8
355;6933;Berlin Station;72;Saison 1;74;S1 E1
356;6933;Berlin Station;72;Saison 1;74;S1 E2
357;6933;Berlin Station;72;Saison 1;74;S1 E3
358;6933;Berlin Station;72;Saison 1;74;S1 E4
359;6933;Berlin Station;72;Saison 1;74;S1 E5
360;6933;Berlin Station;72;Saison 1;74;S1 E6
361;6932;The Wrong Girl;73;Saison 1;75;S1 E1
362;6932;The Wrong Girl;73;Saison 1;75;S1 E2
363;6932;The Wrong Girl;73;Saison 1;75;S1 E3
364;6932;The Wrong Girl;73;Saison 1;75;S1 E4
365;6932;The Wrong Girl;73;Saison 1;75;S1 E5
366;6932;The Wrong Girl;73;Saison 1;75;S1 E6
367;6932;The Wrong Girl;73;Saison 1;75;S1 E7
368;6932;The Wrong Girl;73;Saison 1;75;S1 E8
369;6931;Hors-la-loi : confession d’un Hells Angel;74;Saison 1;76;S1 E1
370;6931;Hors-la-loi : confession d’un Hells Angel;74;Saison 1;76;S1 E2
371;6931;Hors-la-loi : confession d’un Hells Angel;74;Saison 1;76;S1 E3
372;6931;Hors-la-loi : confession d’un Hells Angel;74;Saison 1;76;S1 E4
373;6931;Hors-la-loi : confession d’un Hells Angel;74;Saison 1;76;S1 E5
374;6931;Hors-la-loi : confession d’un Hells Angel;74;Saison 1;76;S1 E6
375;6930;Damned;75;Saison 1;77;S1 E1
376;6930;Damned;75;Saison 1;77;S1 E2
377;6930;Damned;75;Saison 1;77;S1 E3
378;6930;Damned;75;Saison 1;77;S1 E4
379;6930;Damned;75;Saison 1;77;S1 E5
380;6930;Damned;75;Saison 1;77;S1 E6
